zone_id,n,med_excess,wx,wy,dens,logdens,resid
Zone_DH043,214,-0.019559954260096248,223774.0968224299,2631547.334672897,0.994,-0.006018072325563021,-0.020393330281696494
Zone_DH044,254,0.0386918974921489,223548.48787401576,2634012.530787402,1.988,0.6871291082343823,-0.01877261323681327
Zone_DH045,304,0.03220284333996275,223714.76947368422,2635744.1589473686,1.694,0.5270925962298626,-0.012186451152668643
Zone_DH046,322,0.0157648067780079,223647.8154037267,2637831.5629192544,1.156,0.14496577025018564,0.0025958308039775134
Zone_DH047,357,0.1737947049425439,223661.05983193277,2639868.549887955,4.731,1.554136596649011,0.04549441900486456
Zone_DH048,398,0.15020586385167134,223663.49005025128,2641818.076231156,5.544,1.712716261887602,0.008949388181357931
Zone_DH049,366,0.2542993596767507,223708.74775956286,2643808.4474863387,4.213,1.4381749829968795,0.13547330655397205
Zone_DH050,366,0.1477933214835117,223685.52371584703,2645857.354590164,3.419,1.2293481106571642,0.046028728133871
Zone_DH051,391,0.2154749888431712,223677.20890025576,2647832.2571099745,5.519,1.7081966844573642,0.07458776923484653
Zone_DH052,400,0.3249875223459087,223661.48,2649818.83,8.488,2.138653401311682,0.14893136170810034
Zone_DH053,128,0.2149290141716844,223630.23,2651142.2675,3.469,1.2438663679876125,0.11197825804210915
Zone_DH055,242,0.12439390878172074,225738.33950413225,2620156.8465289255,0.625,-0.4700036292457356,0.16146882888128494
Zone_DH056,366,0.0009304715712182,225648.09202185794,2621828.1196174864,1.156,0.14496577025018564,-0.012238504402812187
Zone_DH057,268,-0.0933822583460074,225646.92776119403,2623612.486716418,0.906,-0.0987159729391577,-0.08664208080788985
Zone_DH058,191,-0.1150298787517621,225770.6423036649,2626109.6676963354,1.238,0.21349717426240436,-0.13379797029770524
Zone_DH059,263,-0.1638413772430182,225748.74235741445,2627738.411749049,1.919,0.6518042170255629,-0.21841979288470972
Zone_DH060,352,-0.0251785747653628,225684.77545454548,2629849.511818182,1.606,0.47374661552457,-0.06520942489848995
Zone_DH061,338,0.20949105383241734,225687.81136094677,2631762.0252662725,1.613,0.4780957991430718,0.16910486906001854
Zone_DH062,302,0.219438991648864,225640.28794701988,2633717.5054966887,1.725,0.5452270504833231,0.17356808581815777
Zone_DH063,211,-0.0512009186631496,225726.17194312796,2635980.6783412322,0.787,-0.2395270305647338,-0.032956272526835875
Zone_DH064,222,-0.06564615635818255,225693.91243243244,2637892.2534234235,1.113,0.10705907229340778,-0.07571809987141954
Zone_DH065,359,0.049967828563874,225651.03431754877,2639832.6183008356,2.744,1.0094167098636389,-0.03382804885640891
Zone_DH066,390,0.15229529562591476,225669.68512820514,2641830.3684615386,4.975,1.604425370610556,0.019886343574663845
Zone_DH067,398,0.2205008546158887,225657.4598994975,2643821.0913065327,5.081,1.625508092611595,0.08636941345536348
Zone_DH068,396,0.17187067908732584,225661.47999999998,2645819.335050505,3.619,1.2861977445816055,0.06546138780464518
Zone_DH069,396,0.1814971607765854,225652.3890909091,2647815.79969697,3.606,1.2825991247811255,0.07538188197552073
Zone_DH070,400,0.1880615661990812,225661.48,2649818.83,4.487,1.5011843269938463,0.06408755785439404
Zone_DH071,103,0.0141967400323176,225560.9945631068,2651086.3057281557,1.981,0.6836017677164139,-0.0429795818362781
Zone_DH073,334,-0.085337742042877,227719.56383233535,2619935.8958682637,0.588,-0.5310283310835102,-0.04327701487783527
Zone_DH074,260,-0.12788272827434086,227536.48,2621796.137692308,0.969,-0.03149066709137085,-0.12663495618485282
Zone_DH075,302,-0.0422215050771512,227642.6058278146,2623764.5253642383,1.025,0.024692612590371414,-0.04556398880806171
Zone_DH076,331,0.0671030615301285,227603.9271299094,2625953.1200302118,3.8,1.33500106673234,-0.04329353228857684
Zone_DH077,393,0.1326330318306421,227674.07541984733,2627814.1226208652,6.506,1.8727248280511597,-0.021696376860072725
Zone_DH078,263,0.0128445908721437,227582.20243346007,2629591.6436882126,4.344,1.4687955826316343,-0.10848320986120036
Zone_DH079,215,-0.0137593797789578,227547.29395348838,2632035.341627907,3.256,1.1804994481402937,-0.11153296621859045
Zone_DH080,169,-0.0562064596573765,227505.5628402367,2633382.4394674557,3.444,1.2366335865654843,-0.15856628700513867
Zone_DH082,72,-0.06084971417796875,227167.03555555557,2638277.163333333,0.956,-0.044997365930735805,-0.05849842511131297
Zone_DH083,241,-0.0900610705667617,227505.25593360997,2639920.2822821573,1.119,0.11243542932978817,-0.10057227028431041
Zone_DH084,362,0.08403679167318401,227612.3087292818,2641870.4874585634,3.206,1.165024054187361,-0.012472432529715527
Zone_DH085,389,0.1426616590887235,227654.66766066838,2643823.328714653,4.031,1.3940144841350286,0.027443583073735303
Zone_DH086,322,0.13607114442002893,227517.380621118,2645683.1157142855,2.375,0.8649974374866045,0.0640745320010349
Zone_DH087,265,-0.0607639397611551,227513.36679245284,2647836.7545283022,1.331,0.2859305394129745,-0.08544994278996074
Zone_DH088,236,-0.05481883591554365,227288.17491525423,2649787.050338983,1.087,0.08342160813907236,-0.06295956416280607
Zone_DH090,133,0.0586331791386184,229837.7957894737,2618389.1307518794,0.675,-0.3930425881096072,0.08942027002956045
Zone_DH091,247,-0.1361660998112231,229625.65004048584,2619732.392753036,0.963,-0.03770186718401153,-0.1344108636231917
Zone_DH092,177,-0.1259450699956447,229596.79073446328,2621834.9316949155,0.85,-0.16251892949777494,-0.1139920979328778
