zone_id,n,mixture_ratio,median_excess,mean_score,completeness,mean_road_len,dec,residual,wx,wy
Zone_DH117,400,0.94,0.2792597110805715,0.5603402754040249,22.613,7935.322747114284,9,-0.12002650266536752,231661.48,2635818.83
Zone_DH118,400,0.8575,0.2758332923539562,0.5795326787307202,15.213,6169.57433178544,9,0.031581440371627356,231661.48,2637818.83
Zone_DH119,358,0.7430167597765364,0.3209052052309513,0.602999834528466,7.369,4123.748804956955,7,0.16525261976737826,231701.70346368715,2639781.95849162
Zone_DH120,400,0.9,0.425717831684392,0.7023776878709971,7.463,5318.109379394347,7,0.31926205639010174,231661.48,2641818.83
Zone_DH121,358,0.5586592178770949,0.1383021236427488,0.4542473059870363,6.169,3576.878743866693,6,0.018858528090152205,231757.56938547487,2643763.2434078213
Zone_DH122,272,0.4816176470588235,0.1430657793034196,0.4717344755768997,3.688,1870.0537961892069,5,0.02030639060631101,231733.17117647058,2645787.58
Zone_DH123,354,0.4830508474576271,0.1286102454601065,0.4559948752439571,2.906,2209.9152399528302,4,0.04647910606659167,231704.13536723165,2647753.0107909604
Zone_DH124,293,0.4812286689419795,0.1159233088335205,0.3915961195989346,2.062,1998.0875921402105,3,0.07135788754056888,231769.15918088736,2649712.174709898
Zone_DH125,64,0.328125,0.0137778642987233,0.3973894563269596,0.669,1310.1970999543107,0,-0.03767654293512229,231605.23,2650992.2675
Zone_DH126,133,0.3834586466165413,0.0527092456352914,0.4045818020858386,0.844,1637.4279683715529,0,0.012120767190679282,233685.91609022557,2618455.296165413
Zone_DH127,353,0.405099150141643,0.0583760290687213,0.3880611925650454,2.862,2648.8072934421566,4,-0.030080598074577858,233682.01824362605,2619744.750679887
Zone_DH128,344,0.5930232558139535,0.1304851172162552,0.4381631042116907,6.987,3774.9870942389343,7,0.027344147458867263,233756.5381395349,2621923.1904651164
Zone_DH129,400,0.7625,0.1554392140391566,0.4702706706059308,14.85,5436.960263780372,9,-0.05193461593615256,233661.48,2623818.83
Zone_DH130,400,0.795,0.156518871281057,0.4767161976806398,20.475,5439.688633791771,9,-0.19738828885278714,233661.48,2625818.83
Zone_DH131,400,0.835,0.2452851473540633,0.5364825441201282,14.956,5266.71089303187,9,0.017211945960885044,233661.48,2627818.83
