zone_id,n,mixture_ratio,median_excess,mean_score
Zone_DH043,214,0.308411214953271,-0.019559954260096324,0.3379549371188391
Zone_DH044,254,0.38188976377952755,0.03869189749214896,0.34213659341907154
Zone_DH045,304,0.3190789473684211,0.03220284333996279,0.3510737490326115
Zone_DH046,322,0.2981366459627329,0.015764806778007928,0.3519926713647222
Zone_DH047,357,0.6162464985994398,0.1737947049425439,0.4654534644981337
Zone_DH048,398,0.592964824120603,0.15020586385167137,0.4463083154158689
Zone_DH049,366,0.6557377049180327,0.25429935967675077,0.528381171609391
Zone_DH050,366,0.5109289617486339,0.14779332148351176,0.46076045363633544
Zone_DH051,391,0.710997442455243,0.21547498884317123,0.5283249349076892
Zone_DH052,400,0.965,0.3249875223459087,0.6343576889891948
Zone_DH053,128,0.734375,0.21492901417168442,0.5572360792110159
Zone_DH055,242,0.4297520661157025,0.12439390878172082,0.44816779768076775
Zone_DH056,366,0.23770491803278687,0.0009304715712182277,0.33625095133701427
Zone_DH057,268,0.1828358208955224,-0.09338225834600744,0.2715220992543681
Zone_DH058,191,0.2774869109947644,-0.11502987875176213,0.29138494997773284
Zone_DH059,263,0.1634980988593156,-0.16384137724301828,0.22155621650914328
Zone_DH060,352,0.2727272727272727,-0.025178574765362838,0.3242009170800367
Zone_DH061,338,0.5769230769230769,0.2094910538324174,0.5044908578931384
Zone_DH062,302,0.5463576158940397,0.21943899164886405,0.5248556685072802
Zone_DH063,211,0.1943127962085308,-0.05120091866314963,0.2820503654074179
Zone_DH064,222,0.17567567567567569,-0.0656461563581826,0.2516919602815938
Zone_DH065,359,0.3788300835654596,0.04996782856387405,0.39320494114398097
Zone_DH066,390,0.6512820512820513,0.1522952956259148,0.47479414867654934
Zone_DH067,398,0.7211055276381909,0.22050085461588873,0.5275054432642458
Zone_DH068,396,0.5934343434343434,0.1718706790873259,0.47305195972162917
Zone_DH069,396,0.6212121212121212,0.18149716077658545,0.50631105233066
Zone_DH070,400,0.69,0.18806156619908124,0.5131824189589047
Zone_DH071,103,0.21359223300970873,0.014196740032317634,0.32305360561751634
Zone_DH073,334,0.17664670658682635,-0.08533774204287708,0.2640405338609436
Zone_DH074,260,0.13846153846153847,-0.1278827282743409,0.24850170852075024
Zone_DH075,302,0.2682119205298013,-0.04222150507715122,0.30581763079377383
Zone_DH076,331,0.3987915407854985,0.06710306153012857,0.38567278679855455
Zone_DH077,393,0.6463104325699746,0.13263303183064212,0.46036999722847133
Zone_DH078,263,0.3231939163498099,0.01284459087214379,0.337323798814621
Zone_DH079,215,0.30697674418604654,-0.013759379778957803,0.31945636040551145
Zone_DH080,169,0.23668639053254437,-0.056206459657376584,0.31135289232908975
Zone_DH082,72,0.16666666666666666,-0.060849714177968806,0.27634309443814875
Zone_DH083,241,0.18672199170124482,-0.09006107056676171,0.24384560468814245
Zone_DH084,362,0.4530386740331492,0.08403679167318406,0.3870521207409504
Zone_DH085,389,0.5604113110539846,0.14266165908872358,0.4612445285858591
Zone_DH086,322,0.5496894409937888,0.13607114442002896,0.4523643374483901
Zone_DH087,265,0.2490566037735849,-0.060763939761155183,0.26667386817333116
Zone_DH088,236,0.22033898305084745,-0.05481883591554365,0.29659705051238744
Zone_DH090,133,0.39097744360902253,0.05863317913861843,0.3990196491732734
Zone_DH091,247,0.27125506072874495,-0.13616609981122318,0.26736428908850923
