zone_id,node_count,edge_count,density,transitivity,avg_clustering_coef,avg_degree,n_scc,n_wcc,gscc_pct,gwcc_pct,wcc_fragmentation,orientation_entropy,path_length_p90,path_length_p90_norm,mean_in_degree_centrality,mean_out_degree_centrality,hub_dominance_ratio,mean_closeness_centrality,mean_betweenness_centrality,betweenness_gini,mean_katz_centrality,mean_pagerank,mean_local_clustering,mean_strength_norm,global_efficiency,local_efficiency
Zone_DH588,352,788,0.006378,0.0321,0.0279,4.4773,10,9,90.62,95.17,0.0256,3.651,25.0,1.3325,0.006864,0.006864,1.7448,0.063506,0.041451,0.6857,0.05439,0.002985,0.0224,0.0068,0.101946,0.022388
Zone_DH589,455,1111,0.005378,0.034,0.0234,4.8835,15,7,79.56,92.53,0.0154,3.6685,24.0,1.1251,0.005955,0.005955,1.5992,0.059926,0.028643,0.6984,0.048478,0.002375,0.0253,0.0059,0.093106,0.025337
Zone_DH590,433,1054,0.005635,0.0473,0.0327,4.8684,16,9,91.45,91.45,0.0208,3.7251,25.0,1.2014,0.006399,0.006399,1.5824,0.068001,0.036897,0.7001,0.049972,0.002525,0.0358,0.0064,0.097348,0.035774
Zone_DH591,381,909,0.006278,0.0586,0.0394,4.7717,12,10,49.34,50.39,0.0262,3.7276,21.0,1.0759,0.013034,0.013034,1.6067,0.087024,0.057697,0.642,0.071796,0.005208,0.0425,0.013,0.126777,0.042535
Zone_DH592,305,746,0.008046,0.0579,0.0459,4.8918,5,5,92.13,92.13,0.0164,3.68,20.0,1.1452,0.008948,0.008948,1.5966,0.083743,0.038835,0.6302,0.059388,0.003559,0.0498,0.0089,0.114057,0.049822
Zone_DH593,217,568,0.012118,0.0565,0.0507,5.235,1,1,100.0,100.0,0.0046,3.6591,16.0,1.0862,0.012118,0.012118,1.5282,0.101193,0.041707,0.5931,0.067632,0.004608,0.0507,0.0121,0.135112,0.050691
Zone_DH594,58,136,0.041137,0.0796,0.0747,4.6897,2,2,96.55,96.55,0.0345,3.2868,10.0,1.3131,0.043506,0.043506,1.6716,0.167983,0.096405,0.5634,0.133117,0.017857,0.0774,0.0427,0.228232,0.077381
Zone_DH595,82,196,0.029509,0.0317,0.0224,4.7805,3,3,97.56,97.56,0.0366,3.0872,14.0,1.546,0.031013,0.031013,1.6327,0.127624,0.091671,0.6205,0.111025,0.0125,0.0229,0.0306,0.188907,0.022917
Zone_DH596,223,504,0.010181,0.0133,0.0082,4.5202,6,6,87.44,87.44,0.0269,3.3931,22.0,1.4732,0.012107,0.012107,1.7031,0.081945,0.063395,0.6875,0.071131,0.005128,0.0094,0.012,0.120743,0.009402
Zone_DH597,377,918,0.006476,0.0174,0.0119,4.87,7,7,97.88,97.88,0.0186,3.5313,26.0,1.3391,0.006731,0.006731,1.6149,0.066983,0.039006,0.6946,0.051756,0.00271,0.0122,0.0067,0.094249,0.012195
Zone_DH598,492,1235,0.005112,0.0226,0.0176,5.0203,6,5,98.98,99.19,0.0102,3.6755,24.0,1.082,0.005197,0.005197,1.9757,0.067666,0.030019,0.681,0.045016,0.002049,0.0178,0.0052,0.092436,0.01776
Zone_DH599,612,1553,0.004153,0.03,0.0226,5.0752,9,7,84.48,84.8,0.0114,3.7384,31.0,1.2531,0.005051,0.005051,1.9109,0.055892,0.033395,0.7362,0.043692,0.001927,0.0212,0.005,0.084166,0.021195
Zone_DH600,1053,2658,0.002399,0.0393,0.0302,5.0484,8,6,55.37,55.37,0.0057,3.8547,24.0,0.7396,0.004368,0.004368,1.5735,0.065034,0.025634,0.6769,0.041229,0.001715,0.0263,0.0044,0.086749,0.026301
Zone_DH601,1356,3364,0.001831,0.0313,0.0246,4.9617,15,8,79.65,80.53,0.0059,3.9552,34.0,0.9233,0.002283,0.002283,2.8103,0.047308,0.019189,0.7092,0.03012,0.000916,0.0203,0.0023,0.066842,0.020423
Zone_DH602,1388,3351,0.001741,0.0369,0.0303,4.8285,29,13,95.03,96.18,0.0094,3.846,38.0,1.02,0.001834,0.001834,2.8604,0.04234,0.016659,0.6655,0.02724,0.000749,0.0295,0.0018,0.063667,0.029889
Zone_DH603,1338,2989,0.001671,0.0434,0.0341,4.4679,29,14,96.86,99.03,0.0105,3.8544,38.0,1.0389,0.001704,0.001704,1.7732,0.040396,0.017878,0.6916,0.027342,0.000755,0.0344,0.0017,0.063583,0.034855
Zone_DH604,1330,2948,0.001668,0.0416,0.0325,4.4331,38,5,96.02,99.55,0.0038,3.8719,36.0,0.9871,0.001681,0.001681,2.2486,0.042309,0.016579,0.6729,0.027354,0.000755,0.0327,0.0017,0.065383,0.033119
Zone_DH605,1573,3607,0.001459,0.0362,0.0296,4.5861,19,13,97.97,98.35,0.0083,3.9571,34.0,0.8573,0.001496,0.001496,2.1624,0.044829,0.013712,0.7212,0.025305,0.000646,0.0301,0.0015,0.06709,0.030338
Zone_DH606,1895,4295,0.001197,0.0321,0.0239,4.533,32,17,97.15,98.73,0.009,3.9327,37.0,0.85,0.001222,0.001222,2.1873,0.04044,0.012064,0.7738,0.023004,0.000534,0.0237,0.0012,0.059599,0.023838
Zone_DH607,1819,4032,0.001219,0.0276,0.019,4.4332,42,27,96.37,98.13,0.0148,3.9797,41.0,0.9613,0.001261,0.001261,2.2235,0.03669,0.014103,0.7631,0.023546,0.00056,0.0188,0.0013,0.054031,0.018786
Zone_DH608,1506,3349,0.001478,0.0402,0.0259,4.4475,28,12,95.29,98.34,0.008,3.9212,44.0,1.1338,0.001515,0.001515,2.2298,0.036138,0.017414,0.7596,0.025844,0.000675,0.0264,0.0015,0.057187,0.026379
Zone_DH609,1484,3597,0.001634,0.0383,0.0292,4.8477,18,10,82.21,83.29,0.0067,3.5979,39.0,1.0124,0.001959,0.001959,2.0662,0.040143,0.019563,0.7221,0.0283,0.000809,0.0326,0.002,0.06282,0.032605
Zone_DH610,1371,3513,0.00187,0.0318,0.0279,5.1247,17,8,98.61,99.42,0.0058,3.4868,43.0,1.1613,0.001891,0.001891,1.941,0.037644,0.01894,0.7259,0.026975,0.000734,0.0281,0.0019,0.057389,0.028075
Zone_DH611,1226,3116,0.002075,0.0191,0.0169,5.0832,9,9,98.37,98.37,0.0073,3.5836,45.0,1.2852,0.002126,0.002126,1.5612,0.038411,0.020831,0.7481,0.02868,0.000829,0.0163,0.0021,0.059783,0.016307
