zone_id,density,transitivity,avg_clustering_coef,avg_degree,n_scc,n_wcc,gscc_pct,gwcc_pct,wcc_fragmentation,orientation_entropy,path_length_p90_norm,mean_in_degree_centrality,mean_out_degree_centrality,hub_dominance_ratio,mean_closeness_centrality,mean_betweenness_centrality,betweenness_gini,mean_katz_centrality,mean_pagerank,mean_local_clustering,mean_strength_norm,global_efficiency,local_efficiency,uffm_bearing_entropy,uffm_angle_entropy,uffm_length_entropy,uffm_dominant_bearing_deg,uffm_angle_p90,uffm_angle_p180,uffm_median_length_m
Zone_DH147,0.0027246229882144,0.2933006535947712,0.2312703583061889,0.7290187726770784,0.4705882352941176,0.4,0.9780444964871194,0.9928278688524592,0.014350143501435,0.9273877673998192,0.1245518022268352,0.0023005261599435,0.0023005261599435,0.8663737872963574,0.0233506024276265,0.0130627647199603,0.9077747989276136,0.0130032141778985,0.001810294770639,0.2075746540422432,0.0024193548387096,0.0200557428242058,0.2092892790790864,0.9364463956219958,0.8889905909722244,0.13925384443260444,1.0,0.3437040426997954,0.5836824370474933,0.0
Zone_DH148,0.0008146713253797,0.3782679738562092,0.2817589576547231,0.5914182047641585,0.9607843137254902,0.5,0.8979800936768151,0.935304449648712,0.014760147601476,0.9206301381655404,0.0481222872240045,0.0008883219825524,0.0008883219825524,1.0,0.0223726839755744,0.0029554018177669,0.7680965147453083,0.0070898371601584,0.0009563821429791,0.2541879096868172,0.0016129032258064,0.0245064133432561,0.2578558158172744,0.9253523979961672,0.8737800628750755,0.08546644880133461,1.0,0.3610405504077666,0.6107360775920951,0.0
Zone_DH149,0.0007332041928417,0.4101307189542484,0.3013029315960912,0.5077299258558133,0.8431372549019608,0.4666666666666667,0.9664812646370023,0.9872658079625292,0.013940139401394,0.9214909826539834,0.0798892872869094,0.0006301771329218,0.0006301771329218,0.5345048508145707,0.0214582182475104,0.0039572329424336,0.7643431635388738,0.0069699714097988,0.0009393038904259,0.2680262199563,0.0008064516129032,0.0285922748033679,0.270146807037995,0.9235978749047268,0.826036499772685,0.16110817504916133,1.0,0.423393358495223,0.6396225126360366,0.0
Zone_DH150,0.0010952803374549,0.3415032679738562,0.2467426710097719,0.4676210758794763,1.0,0.6,0.953161592505855,0.9872658079625292,0.021320213202132,0.9076744286144708,0.0087437881361263,0.0009490619471714,0.0009490619471714,0.5637927878455061,0.0310059869511339,0.0,0.8075067024128685,0.0100864809191483,0.001383338456809,0.2221412964311726,0.0016129032258064,0.0356433042945322,0.2224909839350115,0.9193978196680852,0.8442007934891985,0.1861461474296354,0.9714285714285714,0.37502442485884996,0.614156914530304,0.0
Zone_DH151,0.0032315295906729,0.3390522875816993,0.257328990228013,0.6321580690960721,0.7843137254901961,0.2666666666666666,0.9610655737704918,0.9920960187353632,0.009430094300943,0.8017905565359618,0.1460023903881235,0.0027257059122763,0.0027257059122763,0.4457257916895479,0.0228429806357216,0.0166971854111125,0.720107238605898,0.0176868573863939,0.0025446596304266,0.2316096139839767,0.0032258064516129,0.029161376935312,0.2330625478124658,0.8259433443578345,0.774549088473774,0.28142129398682986,1.0,0.5029566934397401,0.6396395883611858,0.047619047619047596
Zone_DH152,0.0054401940728135,0.2745098039215686,0.2239413680781758,0.7139533049376874,0.8823529411764706,0.6333333333333333,0.9039812646370023,0.9716042154566744,0.034850348503485,0.7667111436319028,0.1353085487827892,0.0047984572048986,0.0047984572048986,0.1416193788516687,0.029027754967975,0.0238157521247168,0.6777479892761392,0.0268232912471365,0.0040475458551081,0.201019664967225,0.0056451612903225,0.0356783259641903,0.2054205675567375,0.7905335981448417,0.6578055953767283,0.3467749039119047,1.0,0.6015379947962194,0.7195369063339557,0.09523809523809519
Zone_DH153,0.0089975921936383,0.4387254901960784,0.3558631921824104,0.5936267550086763,0.6862745098039216,0.4666666666666667,0.9540398126463702,0.9755562060889932,0.037310373103731,0.9176602246804116,0.135497263634648,0.0078430479314245,0.0078430479314245,0.2047714930746233,0.0528859791875065,0.0402179539268997,0.7892761394101877,0.0449940511072043,0.0074973528708542,0.3233794610342316,0.0088709677419354,0.0706270338105036,0.3247531966048596,0.9236507587446817,0.8725697024996057,0.5254978252007417,0.0,0.3830049261083744,0.5325975593096853,0.09523809523809519
Zone_DH154,0.0151528866520629,0.4722222222222222,0.3900651465798045,0.565546616185518,0.6862745098039216,0.1,0.9354508196721312,0.995608899297424,0.010660106601066,0.9025093616838118,0.2413662955274579,0.0127629850655611,0.0127629850655611,0.2290560741961071,0.0586452470177219,0.0739407027288766,0.8206434316353886,0.0673823095910358,0.0125695938791542,0.3503277494537509,0.0137096774193548,0.0857943352449328,0.352555462460384,0.8986400863508962,0.877253194670112,0.5407301175899893,0.028571428571428574,0.35195450291555685,0.5861185738354356,0.09523809523809519
Zone_DH155,0.0211180911345656,0.315359477124183,0.258957654723127,0.5795866855970974,0.4117647058823529,0.4,0.7661007025761124,0.8709016393442625,0.062320623206232,0.8525373391296862,0.3140844184437315,0.0203554806429325,0.0203554806429325,0.2028799804747086,0.0621052867316621,0.1030717255427976,0.6986595174262733,0.0927894091950349,0.0193496601427741,0.2199563000728332,0.021774193548387,0.1020210421865196,0.2196932716476631,0.8675166130291043,0.7890586918846015,0.5216318196401469,0.7142857142857143,0.4535901971471765,0.6304869996812532,0.09523809523809519
Zone_DH156,0.0083458551333345,0.1928104575163398,0.1636807817589576,0.7451096387442814,0.4705882352941176,0.3,0.9278395784543324,0.9909250585480092,0.019680196801968,0.6819179615202512,0.1130401962634459,0.0070837983736874,0.0070837983736874,0.1313075843553603,0.0565289120470595,0.0259140317580466,0.7445040214477211,0.0373492799176033,0.0059773883936195,0.1471230881281864,0.0080645161290322,0.060911438952852,0.1474627518123201,0.6436255213605769,0.5661681937509897,0.3370917648122537,0.0,0.6671354525540689,0.7636264286690042,0.047619047619047596
Zone_DH157,0.0094863949888661,0.2205882352941176,0.1807817589576547,0.7024767313456379,0.2352941176470588,0.2,0.927254098360656,0.9890222482435596,0.013940139401394,0.7029225670382644,0.193306913254073,0.0080632303031683,0.0080632303031683,0.1532125205930808,0.0495528449215425,0.040958195813459,0.8155495978552277,0.043045122795802,0.0070874748095774,0.1631463947560087,0.0088709677419354,0.0663222869150286,0.1631270263378383,0.6907252288608761,0.6790291036171647,0.3961218706436811,0.0,0.5699836481997594,0.6805701015436455,0.047619047619047596
Zone_DH158,0.019705994170574,0.2851307189542484,0.2141693811074918,0.6432796971131095,0.1176470588235294,0.1,0.9588700234192036,0.994877049180328,0.013530135301353,0.8173287995523607,0.3221991570736616,0.0166275653144432,0.0166275653144432,0.1851241686497041,0.0636505471864315,0.0979234267077046,0.7855227882037532,0.078765116402962,0.0154558185606448,0.1922796795338674,0.0177419354838709,0.0857476396853886,0.192626862409384,0.8304557775916123,0.8532391833096634,0.6303872958850731,0.6000000000000001,0.37616596563036697,0.5390294157825236,0.14285714285714285
Zone_DH159,0.0232905480022448,0.3733660130718954,0.262214983713355,0.5954014828837356,0.5294117647058824,0.4666666666666667,0.4666276346604216,0.8575819672131147,0.0783107831078311,0.819825248568846,0.2725671510347864,0.0227774867321139,0.0227774867321139,0.1899444749527122,0.0560362203078576,0.075432317958936,0.7482573726541553,0.0993331912702217,0.0212965809338388,0.2301529497450837,0.0241935483870967,0.0892702359584993,0.2303304069068522,0.8312091821146907,0.809979299812629,0.6130271137153667,0.08571428571428573,0.42042380986661454,0.6016973270798234,0.14285714285714285
Zone_DH160,0.0354200988467874,0.4199346405228758,0.3273615635179153,0.7239312194352421,0.2745098039215686,0.1333333333333333,0.7183840749414522,0.9442330210772834,0.031570315703157,0.7992080230706321,0.3349688620494432,0.0316379290709063,0.0316379290709063,0.1308194520715113,0.1063840905358396,0.0953576258828637,0.5378016085790882,0.119346332108039,0.0276155343785223,0.3044428259286234,0.0338709677419354,0.1208130864305622,0.3047174966303596,0.8182593080157023,0.9180281616531917,0.6813542731326397,0.0,0.2847784279646637,0.5589454032147898,0.19047619047619044
Zone_DH161,0.0967195901298043,0.5114379084967321,0.4193811074918566,0.8216595677551662,0.0196078431372549,0.0333333333333333,0.9937060889929742,0.9937060889929742,0.029520295202952,0.7685619592820557,0.2460212618733094,0.0818167323417534,0.0818167323417534,0.0971383244859356,0.2512727869929381,0.1870641338891641,0.3552278820375334,0.2177605526255039,0.0689961403149229,0.3765477057538237,0.0870967741935483,0.2604649126647113,0.3768460165385596,0.7802723081718913,0.9341148910664168,0.5302571907252536,0.0,0.29531711179900655,0.5309298301534539,0.14285714285714285
Zone_DH162,0.1051378604920614,0.2434640522875817,0.1620521172638436,0.6053399589840669,0.0588235294117647,0.1,0.2871779859484777,0.2871779859484777,0.079130791307913,0.8302414668790082,0.0929106120651694,0.1844900500345458,0.1844900500345458,0.1704191835987553,0.3981023903014378,0.3264077118733686,0.3120643431635388,0.37136629197521,0.167896300850497,0.1471230881281864,0.1943548387096774,0.4175429380262371,0.1471858948672179,0.8076297821042581,0.9203098220622662,0.7492710512713449,1.0,0.19244989047379088,0.6236054824461547,0.19047619047619044
